,User ID,Game Title,Hours Played,Game ID
0,151603712,The Elder Scrolls V Skyrim,273.0,3067
1,151603712,Fallout 4,87.0,1162
2,151603712,Spore,14.9,2813
3,151603712,Fallout New Vegas,12.1,1163
4,151603712,Left 4 Dead 2,8.9,1733
5,151603712,HuniePop,8.5,1535
6,151603712,Path of Exile,8.1,2197
7,151603712,Poly Bridge,7.5,2251
8,151603712,Left 4 Dead,3.3,1732
9,151603712,Team Fortress 2,2.8,2994
10,151603712,Tomb Raider,2.5,3247
11,151603712,The Banner Saga,2.0,3024
12,151603712,Dead Island Epidemic,1.4,783
13,151603712,BioShock Infinite,1.3,348
14,151603712,Dragon Age Origins - Ultimate Edition,1.3,934
15,151603712,Fallout 3 - Game of the Year Edition,0.8,1161
16,151603712,SEGA Genesis & Mega Drive Classics,0.8,2535
17,151603712,Grand Theft Auto IV,0.6,1372
18,151603712,Realm of the Mad God,0.5,2401
19,151603712,Marvel Heroes 2015,0.5,1863
20,151603712,Eldevin,0.5,1025
21,151603712,Dota 2,0.5,922
22,151603712,BioShock,0.5,346
23,151603712,Robocraft,0.4,2482
24,151603712,Garry's Mod,0.1,1313
25,151603712,Jazzpunk,0.1,1619
26,187131847,Dota 2,2.3,922
27,59945701,Ultra Street Fighter IV,238.0,3327
28,59945701,FINAL FANTASY XIII,84.0,1127
29,59945701,The Elder Scrolls V Skyrim,58.0,3067
30,59945701,Sid Meier's Civilization V,22.0,2691
31,59945701,L.A. Noire,13.8,1700
32,59945701,Company of Heroes Tales of Valor,10.2,641
33,59945701,7 Days to Die,7.8,27
34,59945701,Divekick,7.0,895
35,59945701,FINAL FANTASY VII,5.2,1124
36,59945701,Orcs Must Die! 2,4.8,2132
37,59945701,Killing Floor,3.4,1657
38,59945701,Company of Heroes,3.2,636
39,59945701,Bastion,2.8,292
40,59945701,Undertale,2.6,3334
41,59945701,Counter-Strike Global Offensive,2.3,673
42,59945701,Orcs Must Die!,0.7,2131
43,59945701,THE KING OF FIGHTERS XIII STEAM EDITION,0.6,2962
44,59945701,GUILTY GEAR XX ACCENT CORE PLUS R,0.5,1292
45,59945701,Skullgirls,0.4,2717
46,59945701,Assassin's Creed II,0.3,225
47,59945701,Company of Heroes Opposing Fronts,0.1,640
48,59945701,Team Fortress 2,0.1,2994
49,53875128,Grand Theft Auto V,86.0,1374
50,53875128,Insurgency,72.0,1587
51,53875128,Left 4 Dead 2,71.0,1733
52,53875128,METAL GEAR SOLID V THE PHANTOM PAIN,59.0,1808
53,53875128,S.T.A.L.K.E.R. Shadow of Chernobyl,54.0,2530
54,53875128,S.T.A.L.K.E.R. Call of Pripyat,50.0,2528
55,53875128,Saints Row The Third,35.0,2556
56,53875128,Far Cry 3,35.0,1170
57,53875128,S.T.A.L.K.E.R. Clear Sky,35.0,2529
58,53875128,Rocket League,34.0,2488
59,53875128,Assassin's Creed II,33.0,225
60,53875128,Far Cry 4,32.0,1172
61,53875128,Prototype,25.0,2308
62,53875128,Space Pirates and Zombies,24.0,2778
63,53875128,Dying Light,23.0,989
64,53875128,Just Cause 2,23.0,1634
65,53875128,Mirror's Edge,23.0,1935
66,53875128,Mad Max,22.0,1825
67,53875128,Portal 2,21.0,2259
68,53875128,Deus Ex Human Revolution,21.0,850
69,53875128,Middle-earth Shadow of Mordor,19.6,1914
70,53875128,RUNNING WITH RIFLES,18.5,2371
71,53875128,Deus Ex Human Revolution - Director's Cut,18.3,851
72,53875128,Batman Arkham City GOTY,16.9,297
73,53875128,Tropico 4,14.3,3305
74,53875128,Cave Story+,13.7,538
75,53875128,Dust An Elysian Tail,13.4,984
76,53875128,F.E.A.R.,12.5,1103
77,53875128,South Park The Stick of Truth,12.2,2767
78,53875128,Sleeping Dogs,11.5,2727
